단 가 대 비 표,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 진성여고특별교실(it실)증축 ],,,,,,,,,,,,,,,,,,,,,,,,,,,
코  드,품      명,규격,단위,재  료  비,,,,,,,,,,,노 무 비,경    비,,,,,,번  호,비  고,품목구분,노임구분,소수점처리,자재구분
,,,,가격정보,PAGE,거래가격,PAGE,유통물가,PAGE,물가자료,PAGE,조사가격,PAGE,적용단가,,가격정보,거래가격,유통물가,물가자료,조사가격,적용단가,,,,,,
556AF2D6238C541AC8C2994961681BE9A69630,산소가스,기체,L,2.00,,4.16,1451,3.03,1190,2.16,,,,2.00,,,,,,,,자재 1,대기압상태기준,,,,
556A82A651AAD4A69838A6DFD1EB68EEE04A45,아세틸렌가스,"아세틸렌가스, g",g,,,45.00,1451,23.70,1190,10.00,,,,10.00,,,,,,,,자재 2,,,,,
556A82A651AAD4A69838A6DFD1EB68EEE04A44,아세틸렌가스,"아세틸렌가스, L",L,,,52.75,1451,27.78,1190,11.72,,,,11.72,,,,,,,,자재 3,,,,,
55586216D8F57493481A2A43D19B8D076CB96F,PVC톱,일회용,개소,,,,,,,,,"11,648.00",,"11,648.00",,,,,,,,자재 4,,,,,
55586216D8F57493481A2A43D19B8D01C081AC,씽크수전(대붙이),FS935C(절수1등급이상적용),EA,,,,,"115,000.00",693,,,,,"115,000.00",,,,,,,,자재 5,,,,,
55586216D8F57493481A2A43D19B8279F65384,전기온수기,"30L, 스테인리스",대,,,"380,000.00",754,"340,000.00",684,"356,000.00",753,,,"340,000.00",,,,,,,,자재 6,,,,,
55586216D8F57493481A061B719B90AFE05B20,전기히트펌프냉난방기,"실외기,34.8/39.2kW",대,"7,146,000.00",,,,,,,,,,"7,146,000.00",,,,,,,,자재 7,,,,,
55586216D8F57493481A061B719B90AFE78F70,전기히트펌프냉난방기,"실내기,1-WAY,2.3/2.6KW",대,"440,000.00",,,,,,,,,,"440,000.00",,,,,,,,자재 8,,,,,
55586216D8F57493481A061B719B90AFE89C8B,전기히트펌프냉난방기,"실내기,4-WAY,10.0/11.2KW",대,"774,000.00",,,,,,,,,,"774,000.00",,,,,,,,자재 9,,,,,
55586216D8F57493481A061B719B90AFE9BAB7,전기히트펌프냉난방기,"실내기,4-WAY,13.0/14.6KW",대,"813,000.00",,,,,,,,,,"813,000.00",,,,,,,,자재 10,,,,,
55586216D8F57493481A061B719B90AED84092,냉난방공조공사,기본설치(냉매배관제외),식,"708,840.00",,,,,,,,,,"708,840.00",,,,,,,,자재 11,,,,,
55586216D8F57493481A061B719B90AED84366,냉난방공조공사,"냉매관및설치,평균Φ12.7",m,"6,800.00",,,,,,,,,,"6,800.00",,,,,,,,자재 12,,,,,
55586216D8F57493481A061B719B90AED8425F,냉난방공조공사,"냉매관및설치,평균Φ15.88",m,"8,110.00",,,,,,,,,,"8,110.00",,,,,,,,자재 13,,,,,
55586216D8F57493481A061B719B90AED84D69,냉난방공조공사,"냉매관및설치,평균Φ20",m,"9,970.00",,,,,,,,,,"9,970.00",,,,,,,,자재 14,,,,,
55586216D8F57493481A061B719B90AED84C43,냉난방공조공사,"냉매관및설치,평균Φ25",m,"12,130.00",,,,,,,,,,"12,130.00",,,,,,,,자재 15,,,,,
55586216D8F57493481A061B719B90AED96C3D,냉난방공조공사,"냉매관및설치,평균Φ28.58",m,"13,220.00",,,,,,,,,,"13,220.00",,,,,,,,자재 16,,,,,
55586216D8F57493481A061B719B90AED96EEA,냉난방공조공사,"PVC드레인관설치,Φ32",m,"6,480.00",,,,,,,,,,"6,480.00",,,,,,,,자재 17,,,,,
55586216D8F57493481A061B719B90AED96FF1,냉난방공조공사,"룸컨트롤러,전선및전선관설치",m,"7,320.00",,,,,,,,,,"7,320.00",,,,,,,,자재 18,,,,,
55586216D8F57493481A061B719B90AED96843,냉난방공조공사,실내외기간통신용케이블(CD관포함),m,"9,890.00",,,,,,,,,,"9,890.00",,,,,,,,자재 19,,,,,
55586216D8F57493481A061B719B90AED96969,냉난방공조공사,실외기노출배관커버트레이,조,"51,920.00",,,,,,,,,,"51,920.00",,,,,,,,자재 20,,,,,
55586216D8F57493481A061B719B90AED96A0F,냉난방공조공사,함석냉매배관커버설치,㎡,"24,360.00",,,,,,,,,,"24,360.00",,,,,,,,자재 21,,,,,
55586216D8F57493481A061B719B90AED9658E,냉난방공조공사,크레인(25톤),대,"388,000.00",,,,,,,,,,"388,000.00",,,,,,,,자재 22,,,,,
55586216D8F57493481A061B719B90AEDFF401,냉난방공조공사,Y분기관설치,개,"52,100.00",,,,,,,,,,"52,100.00",,,,,,,,자재 23,,,,,
55586216D8F57493481A061B719B90AEDFF528,냉난방공조공사,Y분기관(대)설치,개,"98,800.00",,,,,,,,,,"98,800.00",,,,,,,,자재 24,,,,,
55586216D8F57493481A061B719B90AEDFF7D7,냉난방공조공사,룸컨트롤러(고급형),개,"77,000.00",,,,,,,,,,"77,000.00",,,,,,,,자재 25,,,,,
55586216D8F57493481A061B719B90AEDC218A,냉난방공조공사,실외기받침대990x830x130mm,조,"116,400.00",,,,,,,,,,"116,400.00",,,,,,,,자재 26,,,,,
55586216D8F57493481A061B719B90AEDC245D,냉난방공조공사,공기청정키트(1WAY),개,"230,000.00",,,,,,,,,,"230,000.00",,,,,,,,자재 27,,,,,
55586216D8F57493481A061B719B90AEDC245C,냉난방공조공사,공기청정키트(4WAY),개,"550,000.00",,,,,,,,,,"550,000.00",,,,,,,,자재 28,,,,,
554FE2A62F02A440089055CBB1A082A51F3C84,행어볼트,"행어볼트, 아연도금, M10*1000",개,520.00,,,,,,,,380.00,,380.00,,,,,,,,자재 29,,,,,
554FE2A62F02A44EF8FAB02561BEA65CE50A10,용접용 용재,후락스,g,10.62,,8.71,90,,,8.71,90,9.00,설비협회,8.71,,,,,,,,자재 30,,,,,
554FE2A62F02A44EF8FAB02561BEA65CE50A13,동  및 동합금용 용접봉,"D2.4mm, BCUP3 -17-2/4 삭제",g,53.45,,,,,,72.00,,,,53.45,,,,,,,,자재 31,,,,,
554FE2A62F0294BFD864CB6EC133FDD23B4BC5,일반못,"일반못, 50mm",kg,944.00,,"1,460.00",84,"1,850.50",43,"1,162.80",,,,944.00,,,,,,,,자재 32,,,,,
554FE2A62F0294BE3802E6492147ABF63394E5,스트롱앵커,"스트롱앵커, M10, 9.5mm",개,,,94.00,96,,,,,150.00,,94.00,,,,,,,,자재 33,,,,,
554FE2A62F0294BC082168A691E0D0521C1D06,지지행어,"지지행어, 파이프행어(일반), ∮50mm",개,460.00,,600.00,827,770.00,622,570.00,,,,460.00,,,,,,,,자재 34,,,,,
554FE2A62F0294BC082168A691E0D0521C130C,지지행어,"지지행어, 절연행어, ∮15mm",개,400.00,,510.00,827,660.00,622,490.00,,,,400.00,,,,,,,,자재 35,,,,,
553D82A61CC4E452E8B347F0D1445ED2C28835,고무발포단열재,"고무발포단열재, 본드, 고무발포용",kg,"7,560.00",,,,,,"12,000.00",,,설비협회,"7,560.00",,,,,,,,자재 36,,,,,
553D82A61CC4E452E8B347E68187C1F04F7926,관보온재,"고무발포, 9t*D15",M,,,830.00,989,830.00,682,,,,,830.00,,,,,,,,자재 37,,,,,
553D82A61CC4E452E8B347E68187C1F04F7D8A,관보온재,"고무발포, 25t*D15",M,,,"4,600.00",989,"4,600.00",682,,,,,"4,600.00",,,,,,,,자재 38,,,,,
553D82A61C8D5439E84D6C1551865F49C24C13,볼밸브(스텐),"D15, 10K, 나사식",개,,,"20,000.00",829,"16,720.00",597,"20,000.00",834,,,"16,720.00",,,,,,,,자재 39,,,,,
553D82A61C8D5439E8DCF48191B23AB9DD2ED8,감압밸브,"감압밸브, ∮15mm*0.98MPa, 냉온수, 나사",개,,,"50,000.00",845,,,,,,,"50,000.00",,,,,,,,자재 40,,,,,
553D82A61C8D64C7A842E34F1159CC8EAE0BEF,스텐관(K형),D13,m,"1,780.00",,"2,260.00",781,"2,340.00",547,,,,,"1,780.00",,,,,,,,자재 41,,,,,
553D82A61C8D64C7A8D03285B17C064479F89D,"PVC관(VG1,접착제)",D50,m,,,"3,467.50",793,"4,350.00",554,,,,,"3,467.50",,,,,,,,자재 42,,,,,
