Date/Time,Z1-1_LGT:Lights Electricity Energy [J](Monthly),Z1-2_LGT:Lights Electricity Energy [J](Monthly),Z1-3_LGT:Lights Electricity Energy [J](Monthly),Z1-4_LGT:Lights Electricity Energy [J](Monthly),Z2-1_LGT:Lights Electricity Energy [J](Monthly),Z2-2_LGT:Lights Electricity Energy [J](Monthly),Z2-3_LGT:Lights Electricity Energy [J](Monthly),Z2-4_LGT:Lights Electricity Energy [J](Monthly),Z3-1_LGT:Lights Electricity Energy [J](Monthly),Z3-2_LGT:Lights Electricity Energy [J](Monthly),Z3-3_LGT:Lights Electricity Energy [J](Monthly),Z3-4_LGT:Lights Electricity Energy [J](Monthly),Z1-1_EQP:Electric Equipment Electricity Energy [J](Monthly),Z1-2_EQP:Electric Equipment Electricity Energy [J](Monthly),Z1-3_EQP:Electric Equipment Electricity Energy [J](Monthly),Z1-4_EQP:Electric Equipment Electricity Energy [J](Monthly),Z2-1_EQP:Electric Equipment Electricity Energy [J](Monthly),Z2-2_EQP:Electric Equipment Electricity Energy [J](Monthly),Z2-3_EQP:Electric Equipment Electricity Energy [J](Monthly),Z2-4_EQP:Electric Equipment Electricity Energy [J](Monthly),Z3-1_EQP:Electric Equipment Electricity Energy [J](Monthly),Z3-2_EQP:Electric Equipment Electricity Energy [J](Monthly),Z3-3_EQP:Electric Equipment Electricity Energy [J](Monthly),Z3-4_EQP:Electric Equipment Electricity Energy [J](Monthly),Z1-1_IDEAL:Zone Ideal Loads Supply Air Total Heating Energy [J](Monthly),Z1-1_IDEAL:Zone Ideal Loads Supply Air Total Cooling Energy [J](Monthly),Z1-2_IDEAL:Zone Ideal Loads Supply Air Total Heating Energy [J](Monthly),Z1-2_IDEAL:Zone Ideal Loads Supply Air Total Cooling Energy [J](Monthly),Z1-3_IDEAL:Zone Ideal Loads Supply Air Total Heating Energy [J](Monthly),Z1-3_IDEAL:Zone Ideal Loads Supply Air Total Cooling Energy [J](Monthly),Z1-4_IDEAL:Zone Ideal Loads Supply Air Total Heating Energy [J](Monthly),Z1-4_IDEAL:Zone Ideal Loads Supply Air Total Cooling Energy [J](Monthly),Z2-1_IDEAL:Zone Ideal Loads Supply Air Total Heating Energy [J](Monthly),Z2-1_IDEAL:Zone Ideal Loads Supply Air Total Cooling Energy [J](Monthly),Z2-2_IDEAL:Zone Ideal Loads Supply Air Total Heating Energy [J](Monthly),Z2-2_IDEAL:Zone Ideal Loads Supply Air Total Cooling Energy [J](Monthly),Z2-3_IDEAL:Zone Ideal Loads Supply Air Total Heating Energy [J](Monthly),Z2-3_IDEAL:Zone Ideal Loads Supply Air Total Cooling Energy [J](Monthly),Z2-4_IDEAL:Zone Ideal Loads Supply Air Total Heating Energy [J](Monthly),Z2-4_IDEAL:Zone Ideal Loads Supply Air Total Cooling Energy [J](Monthly),Z3-1_IDEAL:Zone Ideal Loads Supply Air Total Heating Energy [J](Monthly),Z3-1_IDEAL:Zone Ideal Loads Supply Air Total Cooling Energy [J](Monthly),Z3-2_IDEAL:Zone Ideal Loads Supply Air Total Heating Energy [J](Monthly),Z3-2_IDEAL:Zone Ideal Loads Supply Air Total Cooling Energy [J](Monthly),Z3-3_IDEAL:Zone Ideal Loads Supply Air Total Heating Energy [J](Monthly),Z3-3_IDEAL:Zone Ideal Loads Supply Air Total Cooling Energy [J](Monthly),Z3-4_IDEAL:Zone Ideal Loads Supply Air Total Heating Energy [J](Monthly),Z3-4_IDEAL:Zone Ideal Loads Supply Air Total Cooling Energy [J](Monthly) 
January,959760000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,1439640000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,5057920101.25332,0.0,4624820946.246877,0.0,3089878514.9890614,0.0,2887544368.1034245,0.0,4994779298.140574,0.0,4775014308.543663,0.0,3257264496.113633,0.0,3054069157.5967355,0.0,5970085818.879602,0.0,5731830067.677039,0.0,4075709064.092992,0.0,3850626552.5949254,0.0 
February,866880000.0,720000000.0,720000000.0,720000000.0,720000000.0,720000000.0,720000000.0,720000000.0,720000000.0,720000000.0,720000000.0,720000000.0,1300320000.0,1080000000.0,1080000000.0,1080000000.0,1080000000.0,1080000000.0,1080000000.0,1080000000.0,1080000000.0,1080000000.0,1080000000.0,1080000000.0,3137861513.64365,0.0,2879056850.2177835,0.0,1660226138.5081546,0.0,1515883452.9063282,0.0,3190947915.9465146,0.0,3018168922.642677,0.0,1813664661.1236088,0.0,1663967506.9291654,0.0,3890147084.2451715,0.0,3699736166.2318525,0.0,2358347203.2380166,0.0,2188087550.608553,0.0 
March,959760000.0,792000000.0,792000000.0,792000000.0,792000000.0,792000000.0,792000000.0,792000000.0,792000000.0,792000000.0,792000000.0,792000000.0,1439640000.0,1188000000.0,1188000000.0,1188000000.0,1188000000.0,1188000000.0,1188000000.0,1188000000.0,1188000000.0,1188000000.0,1188000000.0,1188000000.0,1169550742.354309,29003391.658238783,997786784.0950527,42629334.53918042,470558269.11668,126418666.24643958,354600637.9687336,132926638.62808931,1261048173.6323395,36321490.95811893,1101407814.1544049,35948660.28653813,565636721.5453781,111616200.60880554,446388012.50846666,117742987.60065418,1560273588.5008788,0.0,1378360872.9095716,0.0,779953594.2688627,13364706.74744673,638731103.5703801,14958120.300781379 
April,928800000.0,756000000.0,756000000.0,756000000.0,756000000.0,756000000.0,756000000.0,756000000.0,756000000.0,756000000.0,756000000.0,756000000.0,1393200000.0,1134000000.0,1134000000.0,1134000000.0,1134000000.0,1134000000.0,1134000000.0,1134000000.0,1134000000.0,1134000000.0,1134000000.0,1134000000.0,169421921.85265666,225607569.0934787,126590704.39888199,196712960.44093385,36150594.80608399,305248682.8672461,22060160.190126043,320972220.80972517,197089614.55030355,165124315.02724004,151617310.20071027,178393723.02911258,52610338.20050035,275431876.7926903,31956040.354354363,289653504.8727578,163622004.84771466,39498000.92217988,111282458.225841,51059081.34696508,32290372.145321753,102011210.35795046,22291125.302260607,119980358.88961513 
May,959760000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,1439640000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,0.0,2317410090.0580997,0.0,1943799247.368644,0.0,2004827619.4805973,0.0,2131430387.6983752,0.0,1745374386.6067567,0.0,1872156697.1315477,0.0,1925710175.9437573,0.0,2052625929.1483629,0.0,1507916392.9714005,0.0,1650330544.4438481,0.0,1726519286.317063,0.0,1874873736.5935583 
June,928800000.0,756000000.0,756000000.0,756000000.0,756000000.0,756000000.0,756000000.0,756000000.0,756000000.0,756000000.0,756000000.0,756000000.0,1393200000.0,1134000000.0,1134000000.0,1134000000.0,1134000000.0,1134000000.0,1134000000.0,1134000000.0,1134000000.0,1134000000.0,1134000000.0,1134000000.0,0.0,5051351510.925543,0.0,4095423577.198552,0.0,4077950398.9945736,0.0,4196357614.820373,0.0,3919890559.981091,0.0,4035807963.146472,0.0,4014802843.106718,0.0,4132897976.819905,0.0,3967451753.2415934,0.0,4084621521.8417225,0.0,4068270459.874463,0.0,4187696127.9736266 
July,959760000.0,792000000.0,792000000.0,792000000.0,792000000.0,792000000.0,792000000.0,792000000.0,792000000.0,792000000.0,792000000.0,792000000.0,1439640000.0,1188000000.0,1188000000.0,1188000000.0,1188000000.0,1188000000.0,1188000000.0,1188000000.0,1188000000.0,1188000000.0,1188000000.0,1188000000.0,0.0,6697790987.036842,0.0,5288763916.457927,0.0,5375956050.676178,0.0,5405687058.172606,0.0,5215808115.738624,0.0,5245077152.259056,0.0,5323585752.666235,0.0,5354767529.871201,0.0,5359498470.577379,0.0,5391351250.855229,0.0,5461558104.053698,0.0,5492676368.91589 
August,959760000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,1439640000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,0.0,7831001476.471245,0.0,6709074261.1780205,0.0,6816098981.50695,0.0,7009429583.30659,0.0,6428053481.782041,0.0,6615444308.466542,0.0,6719855460.431058,0.0,6909361611.021299,0.0,6665013242.439391,0.0,6849786060.039003,0.0,6960485068.106706,0.0,7148269655.070176 
September,928800000.0,720000000.0,720000000.0,720000000.0,720000000.0,720000000.0,720000000.0,720000000.0,720000000.0,720000000.0,720000000.0,720000000.0,1393200000.0,1080000000.0,1080000000.0,1080000000.0,1080000000.0,1080000000.0,1080000000.0,1080000000.0,1080000000.0,1080000000.0,1080000000.0,1080000000.0,0.0,4137570527.635283,0.0,3119142407.0388975,0.0,3566812448.6002684,0.0,3653542478.512246,0.0,3012765421.925428,0.0,3082532292.9825726,0.0,3515852978.528156,0.0,3600809781.918167,0.0,3014638009.2216997,0.0,3088550727.586245,0.0,3516754504.975643,0.0,3604823512.7423015 
October,959760000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,828000000.0,1439640000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,9686748.086923761,956302507.5794762,7127913.845846752,920292793.5744605,338109.4815787421,1510235859.946116,0.0,1600448537.094538,12039492.743544089,828411103.4712284,7848295.029743089,884609328.802395,672460.4564773595,1446795370.9752128,0.0,1533822460.1398025,6903382.244719339,697665403.625817,4365860.505729975,758843302.8832256,0.0,1307625291.6345143,0.0,1392789095.6900978 
